url,product_name,product_price,product_rating,rating_count,product_description
https://www.ulta.com/p/amazing-grace-firming-body-emulsion-xlsImpprod1500110,Amazing Grace Firming Body Emulsion - Original,49.0,4.5,18746.0,Philosophy's award-winning Amazing Grace Firming Body Emulsion softens and tones dry skin while replenishing and helping to maintain moisture.
https://www.ulta.com/p/amazing-grace-fresh-cream-warm-cashmere-2-piece-mini-gift-set-pimprod2047242,Amazing Grace and Fresh Cream Warm Cashmere 2-Piece Mini Gift Set,35.0,4.5,18740.0,Explore the Philosophy fragrance collection with the Favorite Duo 2-Piece Mini Holiday Gift Set. Dab your body with one of the brand's favorite scents.
https://www.ulta.com/p/amber-eau-de-parfum-pimprod2035311,Amber Eau de Parfum - 1.67 oz,59.99,3.3,247.0,"The Amber Eau de Parfum by Nemat has a subtle yet long-lasting scent. This fragrance blends with your body chemistry to create your own unique scent. This is Nemat's signature ""skin-scent"" with fresh, inspiring, soft and clean notes inspired by their best-selling Amber fragrance oil."
https://www.ulta.com/p/amber-fragrance-oil-pimprod2022389,Amber Fragrance Oil,20.99,3.9,348.0,"The Amber Fragrance Oil from Nemat has a subtle yet long-lasting scent - one drop goes a long way. This fragrance blends with your body chemistry to create your own unique scent. This is Nemat's signature ""skin-scent"" with fresh, inspiring, soft and clean notes."
https://www.ulta.com/p/amikaaura-hair-body-mist-pimprod2055450,Amika:Aura Hair And Body Mist,28.0,4.8,113.0,"Designed to uplift, Amika:Aura Hair and Body Mist begins with a burst of pink grapefruit. Juicy apricot awakens the senses, while Lily of the Valley floats in and elevates. As it settles, velvety vanilla hugs your skin, while smooth sandalwood grounds you in woody richness."
https://www.ulta.com/p/angel-eau-de-parfum-xlsImpprod3920101,Angel Eau de Parfum - 3.4 oz,195.0,4.4,1957.0,"Celestial. Delicious. Fearless. ANGEL Eau de Parfum by MUGLER is a sparkling women's perfume with notes of with bergamot, praline, and patchouli leaf."
https://www.ulta.com/p/angel-nova-eau-de-parfum-pimprod2022039,Angel Nova Eau de Parfum - 0.8 oz,95.0,4.4,1977.0,"Mugler Angel Nova Eau de Parfum, a fruity floral women's perfume that exudes pleasure and confidence. Angel Nova opens with an explosion of Raspberry notes, followed by Upcycled Rose at the heart. The Akigalawood at the base transforms this fragrance for a long-lasting power and confidence."
https://www.ulta.com/p/angel-stellar-eau-de-parfum-pimprod2051934,Angel Stellar Eau de Parfum - 3.3 oz,190.0,4.4,1057.0,"Supra-sensual and long-lasting, the new Angel Stellar Eau de Parfum is a dazzling ambery gourmand powdery fragrance that takes Mugler's creativity and expertise to new heights. Let mysterious woods and powdery vanilla wrap you up in a voluptuous, warm and creamy embrace."
https://www.ulta.com/p/ari-eau-de-parfum-xlsImpprod13001021,Ari Eau de Parfum - 1.0 oz,50.0,4.6,733.0,Ari Eau de Parfum by Ariana Grande is a luscious and sexy fragrance. Playful. Timeless. Confident.
https://www.ulta.com/p/ariana-grande-4-piece-coffret-pimprod2054352,Ariana Grande 4-Piece Coffret,50.0,3.9,14.0,A scent for every sweater this holiday season! Make them smile with this irresistible Ariana Grande mini fragrance collection! Perfect for the ultimate fragrance lover and sure to be the hottest gift of the season!
